,"chemistry, multidisciplinary"
cambridge,"chemistry, multidisciplinary"
berkeley,"chemistry, multidisciplinary"
chestnut hill,"chemistry, multidisciplinary"
milton keynes,"chemistry, inorganic & nuclear ,crystallography"
los angeles,"materials science, multidisciplinary"
,polymer science
ithaca,"chemistry, multidisciplinary"
,"chemistry, multidisciplinary"
,polymer science
"nantes ,orsay","materials science, ceramics ,materials science, multidisciplinary"
aachen,"chemistry, multidisciplinary"
milton keynes,"chemistry, physical ,materials science, multidisciplinary"
pasadena,"chemistry, physical"
,"chemistry, inorganic & nuclear"
,"chemistry, physical"
gainesville,polymer science
milton keynes,"chemistry, multidisciplinary"
"villeurbanne ,villeurbanne ,artix","chemistry, inorganic & nuclear ,chemistry, organic"
milton keynes,"chemistry, inorganic & nuclear ,crystallography"
,"chemistry, inorganic & nuclear ,crystallography"
,polymer science
,polymer science
caracas,"chemistry, physical ,engineering, chemical"
graz,"materials science, multidisciplinary ,physics, condensed matter ,polymer science"
,"chemistry, inorganic & nuclear ,chemistry, organic"
rahway,"chemistry, multidisciplinary"
halifax,"chemistry, multidisciplinary"
tsukuba,"chemistry, multidisciplinary"
,"chemistry, physical"
"los angeles ,santa barbara ,los angeles","chemistry, inorganic & nuclear"
groningen,"chemistry, inorganic & nuclear ,chemistry, organic"
w lafayette,"chemistry, inorganic & nuclear ,chemistry, organic"
"vancouver ,burnaby","chemistry, inorganic & nuclear ,chemistry, organic"
,"chemistry, inorganic & nuclear ,chemistry, organic"
berlin,"chemistry, organic"
,polymer science
calcutta,"chemistry, inorganic & nuclear"
graz,polymer science
heidelberg,"chemistry, multidisciplinary"
pasadena,"chemistry, multidisciplinary"
,"chemistry, inorganic & nuclear ,crystallography"
kyoto,polymer science
"new orleans ,kangnung","physics, applied"
,polymer science
bethlehem,"chemistry, physical ,engineering, chemical"
gainesville,polymer science
woluwe st lambert,"biochemistry & molecular biology ,chemistry, physical"
,polymer science
newark,"chemistry, physical"
"durham ,newcastle upon tyne ,manchester","chemistry, inorganic & nuclear ,chemistry, organic"
kyoto,polymer science
cambridge,"chemistry, multidisciplinary"
"manchester,runcorn",polymer science
pasadena,"chemistry, multidisciplinary"
salt lake city,"chemistry, multidisciplinary"
lawrence,"chemistry, inorganic & nuclear"
amsterdam,"thermodynamics ,chemistry, physical ,engineering, chemical"
,polymer science
,polymer science
cambridge,"chemistry, physical ,materials science, multidisciplinary"
,"chemistry, inorganic & nuclear ,chemistry, organic"
heidelberg,"chemistry, inorganic & nuclear ,chemistry, organic"
gainesville,polymer science
"london ,coventry ,auckland","chemistry, inorganic & nuclear"
calgary,"chemistry, physical"
,"chemistry, inorganic & nuclear ,chemistry, organic"
burnaby,"chemistry, inorganic & nuclear ,chemistry, organic"
cambridge,"chemistry, inorganic & nuclear ,chemistry, organic"
calgary,"chemistry, inorganic & nuclear ,chemistry, organic"
kyoto,polymer science
"taejon ,seoul",polymer science
gainesville,polymer science
,"chemistry, inorganic & nuclear ,chemistry, organic"
utrecht,"chemistry, multidisciplinary"
,"chemistry, multidisciplinary"
,"chemistry, multidisciplinary"
gauhati,"chemistry, multidisciplinary"
cambridge,polymer science
cambridge,polymer science
"durham ,leeds",polymer science
talence,polymer science
,"chemistry, multidisciplinary ,education, scientific disciplines"
,polymer science
la jolla,"chemistry, inorganic & nuclear ,chemistry, organic"
cambridge,"chemistry, inorganic & nuclear ,chemistry, organic"
,"chemistry, inorganic & nuclear ,chemistry, organic"
tianjin,"chemistry, inorganic & nuclear ,chemistry, organic"
,"chemistry, inorganic & nuclear ,crystallography"
,"chemistry, physical"
,"chemistry, inorganic & nuclear"
villeurbanne,"chemistry, multidisciplinary"
,multidisciplinary sciences
pasadena,"chemistry, multidisciplinary"
zurich,"chemistry, multidisciplinary"
"marburg ,dublin",polymer science
daeijon,polymer science
pasadena,polymer science
