ID,CT,lat,lon,SUBJECTS,CNT
1802,coventry,52.406822,-1.519693,"materials science, multidisciplinary ,physics, applied ,physics, condensed matter",2.386294361
1803,marseille,43.296482,5.36978,"chemistry, multidisciplinary",3.995732274
1804,"nottingham ,sandwich",52.95477,-1.158086,"chemistry, multidisciplinary",4.555348061
1804,"nottingham ,sandwich",52.95477,-1.158086,"chemistry, multidisciplinary",4.555348061
1806,bloomington,39.165325,-86.5263857,"chemistry, inorganic & nuclear ,chemistry, organic",4.258096538
1807,pasadena,34.1477849,-118.1445155,"chemistry, inorganic & nuclear ,chemistry, organic",6.010635294
1811,chestnut hill,40.0703334,-75.2070644,"chemistry, organic",5.65396035
1812,newark,40.735657,-74.1723667,"chemistry, organic",3.708050201
1813,"amsterdam ,geleen",52.3702157,4.8951679,"biotechnology & applied microbiology ,chemistry, multidisciplinary",4.912023005
1813,"amsterdam ,geleen",50.9691199,5.822895,"biotechnology & applied microbiology ,chemistry, multidisciplinary",4.17805383
1815,garching,48.2488721,11.6532477,"chemistry, multidisciplinary",4.970291914
1816,la jolla,32.8662854,-117.2485721,"chemistry, multidisciplinary",5.465908119
1819,"chestnut hill ,cambridge",40.0703334,-75.2070644,"chemistry, multidisciplinary",5.65396035
1819,"chestnut hill ,cambridge",42.3736158,-71.1097335,"chemistry, multidisciplinary",5.976733742
1826,"moscow ,rennes",55.75,37.6166667,"chemistry, multidisciplinary",4.737669618
1826,"moscow ,rennes",48.113475,-1.675708,"chemistry, multidisciplinary",5.59511985
1827,pasadena,34.1477849,-118.1445155,"chemistry, organic",6.010635294
1828,oslo,59.9138688,10.7522454,"chemistry, organic",4.433987204
1829,warsaw,52.2296756,21.0122287,"chemistry, organic",4.988984047
1831,erlangen,49.5907169,11.0142675,"chemistry, multidisciplinary",4.465735903
1832,"bloomington ,montpellier",39.165325,-86.5263857,"chemistry, multidisciplinary",4.258096538
1832,"bloomington ,montpellier",43.610769,3.876716,"chemistry, multidisciplinary",4.135494216
1834,sapporo,43.0620958,141.3543763,"chemistry, organic",5.290459441
1836,bern,46.9479222,7.4446085,"chemistry, multidisciplinary",2.609437912
1838,oviedo,43.3602994,-5.844781,"chemistry, inorganic & nuclear ,chemistry, organic",4.610917913
1839,la jolla,32.8662854,-117.2485721,"chemistry, multidisciplinary",5.465908119
1840,"suita ,takamatsu",34.7594526,135.51686,"chemistry, multidisciplinary",3.944438979
1840,"suita ,takamatsu",34.3427879,134.046574,"chemistry, multidisciplinary",1
1841,"koln ,koln ,wurzburg",50.9580867,6.9204493,"chemistry, organic",2.609437912
1841,"koln ,koln ,wurzburg",50.9580867,6.9204493,"chemistry, organic",2.609437912
1841,"koln ,koln ,wurzburg",49.7915953,9.9535715,"chemistry, organic",4.33220451
1842,chestnut hill,40.0703334,-75.2070644,"chemistry, organic",5.65396035
1844,new haven,41.3081527,-72.9281577,"biochemistry & molecular biology ,chemistry, medicinal ,chemistry, organic",3.708050201
1846,orsay,48.697161,2.189617,"chemistry, organic",3.944438979
1847,collegeville,40.1856597,-75.451571,"chemistry, organic",2.386294361
1848,london,51.5081289,-0.128005,"chemistry, organic",5.418840608
1849,mulheim,51.4309558,6.8807461,"chemistry, multidisciplinary",5.672828834
1850,chestnut hill,40.0703334,-75.2070644,"chemistry, multidisciplinary",5.65396035
1857,ufa,54.7833333,56.0333333,polymer science,2.386294361
1859,"newhouse ,oss",44.2702883,-84.7343335,"chemistry, organic",2.386294361
1859,"newhouse ,oss",51.764377,5.51462,"chemistry, organic",2.791759469
1860,magdeburg,52.130807,11.628878,"chemistry, organic",2.791759469
1861,halle,51.47971,11.96864,"chemistry, organic",2.791759469
1870,cambridge,42.3736158,-71.1097335,"chemistry, multidisciplinary",5.976733742
1872,la jolla,32.8662854,-117.2485721,"chemistry, multidisciplinary",5.465908119
1873,oslo,59.9138688,10.7522454,"chemistry, organic",4.433987204
1875,pasadena,34.1477849,-118.1445155,"chemistry, inorganic & nuclear ,chemistry, organic",6.010635294
1876,dortmund,51.5040988,7.4835995,"chemistry, organic",4.33220451
1877,niigata,37.9161924,139.0364126,"chemistry, organic",2.791759469
1878,columbia,4.570868,-74.297333,"chemistry, multidisciplinary",4.688879454
1879,pointe claire,45.4346056,-73.8084583,"chemistry, multidisciplinary",2.098612289
1882,braunschweig,52.2688736,10.5267696,"chemistry, multidisciplinary",4.091042453
1883,oslo,59.9138688,10.7522454,"chemistry, inorganic & nuclear ,chemistry, organic ,chemistry, physical",4.433987204
1884,urbana,40.1105875,-88.2072697,"chemistry, organic",4.63758616
1886,tucson,32.2217429,-110.926479,"chemistry, organic",3.708050201
1888,munich,48.1448353,11.5580067,"chemistry, inorganic & nuclear",4.258096538
1890,la jolla,32.8662854,-117.2485721,"chemistry, multidisciplinary",5.465908119
1891,rostock,54.0834186,12.1004289,"chemistry, multidisciplinary",3.564949357
1892,louvain,50.877571,4.704328,"chemistry, organic",3.63905733
1893,moscow,55.75,37.6166667,"chemistry, multidisciplinary",4.737669618
1894,"geleen ,pisa",50.9691199,5.822895,"chemistry, multidisciplinary",4.17805383
1894,"geleen ,pisa",43.7161354,10.3965843,"chemistry, multidisciplinary",2.609437912
1895,la jolla,32.8662854,-117.2485721,"chemistry, multidisciplinary",5.465908119
1897,corvallis,44.5645659,-123.2620435,"chemistry, multidisciplinary",3.079441542
1899,chestnut hill,40.0703334,-75.2070644,"chemistry, physical",5.65396035
1902,villeurbanne,45.771944,4.8901709,"chemistry, physical",5.060443011
1917,villeurbanne,45.771944,4.8901709,"chemistry, physical",5.060443011
1919,potchefstroom,-26.7145297,27.0970475,"chemistry, physical",2.386294361
