Id,CO,lat,lon
648,['usa'],37.09024,-95.712891
650,['usa'],37.09024,-95.712891
653,['england'],52.3555177,-1.1743197
654,"['germany ,ukraine']",51.165691,10.451526
654,"['germany ,ukraine']",48.379433,31.16558
657,"['usa ,england']",37.09024,-95.712891
657,"['usa ,england']",52.3555177,-1.1743197
658,"['canada ,netherlands']",56.130366,-106.346771
658,"['canada ,netherlands']",52.132633,5.291266
659,['usa'],37.09024,-95.712891
662,"['usa ,japan']",37.09024,-95.712891
662,"['usa ,japan']",36.204824,138.252924
663,['usa'],37.09024,-95.712891
665,['japan'],36.204824,138.252924
666,['england'],52.3555177,-1.1743197
667,['italy'],41.87194,12.56738
668,['usa'],37.09024,-95.712891
669,['england'],52.3555177,-1.1743197
670,"['south korea ,japan']",35.907757,127.766922
670,"['south korea ,japan']",36.204824,138.252924
672,['usa'],37.09024,-95.712891
673,['usa'],37.09024,-95.712891
674,['japan'],36.204824,138.252924
675,['usa'],37.09024,-95.712891
676,['usa'],37.09024,-95.712891
677,['usa'],37.09024,-95.712891
678,['austria'],47.516231,14.550072
679,['england'],52.3555177,-1.1743197
680,['north ireland'],53.41291,-8.24389
681,['england'],52.3555177,-1.1743197
684,"['italy ,spain']",41.87194,12.56738
684,"['italy ,spain']",40.463667,-3.74922
685,['usa'],37.09024,-95.712891
686,['usa'],37.09024,-95.712891
687,['japan'],36.204824,138.252924
688,['taiwan'],23.69781,120.960515
689,['usa'],37.09024,-95.712891
690,['france'],46.227638,2.213749
691,['france'],46.227638,2.213749
697,['usa'],37.09024,-95.712891
698,['belgium'],50.503887,4.469936
699,['austria'],47.516231,14.550072
700,['netherlands'],52.132633,5.291266
703,['usa'],37.09024,-95.712891
704,['romania'],45.943161,24.96676
707,['switzerland'],46.818188,8.227512
710,"['usa ,england']",37.09024,-95.712891
710,"['usa ,england']",52.3555177,-1.1743197
711,['germany'],51.165691,10.451526
713,['taiwan'],23.69781,120.960515
714,['netherlands'],52.132633,5.291266
715,['north ireland'],53.41291,-8.24389
716,['usa'],37.09024,-95.712891
718,['south korea'],35.907757,127.766922
719,"['usa ,france']",37.09024,-95.712891
719,"['usa ,france']",46.227638,2.213749
720,['usa'],37.09024,-95.712891
721,['england'],52.3555177,-1.1743197
722,['japan'],36.204824,138.252924
723,['france'],46.227638,2.213749
724,['germany'],51.165691,10.451526
725,"['france ,peoples r china']",46.227638,2.213749
725,"['france ,peoples r china']",42.0210671,121.6698029
726,['usa'],37.09024,-95.712891
727,['england'],52.3555177,-1.1743197
728,['usa'],37.09024,-95.712891
729,['malaysia'],4.210484,101.975766
730,['england'],52.3555177,-1.1743197
731,['canada'],56.130366,-106.346771
733,['italy'],41.87194,12.56738
734,['usa'],37.09024,-95.712891
735,['netherlands'],52.132633,5.291266
736,['canada'],56.130366,-106.346771
737,['usa'],37.09024,-95.712891
738,['italy'],41.87194,12.56738
739,['canada'],56.130366,-106.346771
740,['netherlands'],52.132633,5.291266
741,['usa'],37.09024,-95.712891
743,['poland'],51.919438,19.145136
744,['germany'],51.165691,10.451526
745,['usa'],37.09024,-95.712891
747,['usa'],37.09024,-95.712891
748,['south korea'],35.907757,127.766922
749,['japan'],36.204824,138.252924
750,['usa'],37.09024,-95.712891
751,"['switzerland ,netherlands']",46.818188,8.227512
751,"['switzerland ,netherlands']",52.132633,5.291266
753,['usa'],37.09024,-95.712891
755,"['usa ,south korea ,france']",37.09024,-95.712891
755,"['usa ,south korea ,france']",35.907757,127.766922
755,"['usa ,south korea ,france']",46.227638,2.213749
756,"['usa ,france']",37.09024,-95.712891
756,"['usa ,france']",46.227638,2.213749
759,"['usa ,france']",37.09024,-95.712891
759,"['usa ,france']",46.227638,2.213749
760,['switzerland'],46.818188,8.227512
761,['usa'],37.09024,-95.712891
763,['australia'],-29.5328037,145.491477
764,['south korea'],35.907757,127.766922
765,"['italy ,usa']",41.87194,12.56738
765,"['italy ,usa']",37.09024,-95.712891
766,['usa'],37.09024,-95.712891
767,['russia'],61.52401,105.318756
768,['england'],52.3555177,-1.1743197
770,['usa'],37.09024,-95.712891
772,['germany'],51.165691,10.451526
775,"['england ,scotland']",52.3555177,-1.1743197
775,"['england ,scotland']",56.4906712,-4.2026458
776,['hungary'],47.162494,19.503304
778,['japan'],36.204824,138.252924
779,['usa'],37.09024,-95.712891
780,['new zealand'],-40.900557,174.885971
781,['usa'],37.09024,-95.712891
782,['portugal'],39.399872,-8.224454
783,['germany'],51.165691,10.451526
784,['south korea'],35.907757,127.766922
785,['japan'],36.204824,138.252924
786,['england'],52.3555177,-1.1743197
788,['taiwan'],23.69781,120.960515
789,['usa'],37.09024,-95.712891
794,['japan'],36.204824,138.252924
798,['netherlands'],52.132633,5.291266
799,['usa'],37.09024,-95.712891
800,['austria'],47.516231,14.550072
801,['india'],20.593684,78.96288
802,['usa'],37.09024,-95.712891
803,['south korea'],35.907757,127.766922
805,['usa'],37.09024,-95.712891
807,"['england ,wales']",52.3555177,-1.1743197
807,"['england ,wales']",53.339404,-1.2801769
808,['australia'],-29.5328037,145.491477
809,['japan'],36.204824,138.252924
810,['usa'],37.09024,-95.712891
812,['usa'],37.09024,-95.712891
813,['canada'],56.130366,-106.346771
816,['usa'],37.09024,-95.712891
817,['netherlands'],52.132633,5.291266
818,['canada'],56.130366,-106.346771
819,"['usa ,england']",37.09024,-95.712891
819,"['usa ,england']",52.3555177,-1.1743197
820,['canada'],56.130366,-106.346771
821,['usa'],37.09024,-95.712891
822,['usa'],37.09024,-95.712891
823,['czech republic'],49.817492,15.472962
824,['france'],46.227638,2.213749
825,['india'],20.593684,78.96288
826,['finland'],65.1462345,26.7205771
828,['south korea'],35.907757,127.766922
829,"['usa ,colombia']",37.09024,-95.712891
829,"['usa ,colombia']",4.570868,-74.297333
830,['japan'],36.204824,138.252924
831,['germany'],51.165691,10.451526
